booking_id,no_show,branch,booking_month,arrival_month,arrival_day,checkout_month,checkout_day,country,first_time,room,price,platform,num_adults,num_children
94113,0,Changi,November,June,25.0,June,27.0,Singapore,Yes,Single,492.98,Website,1,0
86543,0,Orchard,August,November,28.0,November,29.0,Indonesia,Yes,King,1351.22,Website,2,0
75928,0,Changi,March,February,7.0,February,11.0,India,Yes,Single,,Agent,1,0
66947,1,Orchard,September,October,1.0,October,3.0,China,Yes,Single,666.04,Website,1,0
106390,0,Orchard,March,June,20.0,June,24.0,Australia,Yes,Queen,665.37,Website,1,0
55212,0,Orchard,November,September,12.0,September,13.0,Indonesia,Yes,Unknown,1499.61,Website,2,2
42322,0,Orchard,November,October,15.0,October,16.0,Australia,Yes,King,1375.44,Website,1,1
23137,0,Changi,July,November,18.0,November,19.0,India,Yes,King,,Email,2,1
109456,1,Changi,January,June,27.0,June,28.0,China,Yes,Unknown,658.75,Email,2,1
31117,0,Orchard,October,March,22.0,March,24.0,China,Yes,Unknown,962.75,Website,1,1
65862,0,Orchard,October,March,28.0,March,29.0,Indonesia,Yes,King,1478.01,Website,2,2
108345,1,Changi,March,June,9.0,June,10.0,China,Yes,King,867.99,Website,1,2
81453,0,Changi,March,November,11.0,November,12.0,Indonesia,Yes,King,869.72,Website,2,0
88243,1,Orchard,June,March,11.0,March,13.0,China,Yes,Single,587.03,Email,1,0
115125,0,Orchard,July,May,10.0,May,11.0,Japan,Yes,King,1342.52,Website,2,2
99392,0,Orchard,December,August,13.0,August,15.0,India,Yes,Queen,,Phone,1,1
28623,0,Changi,December,February,22.0,February,23.0,Indonesia,Yes,King,,Website,2,2
85014,0,Orchard,March,May,10.0,May,12.0,Indonesia,Yes,Unknown,1309.13,Website,1,0
28009,0,Changi,June,July,30.0,July,31.0,Japan,Yes,King,,Agent,2,2
3158,0,Orchard,March,March,30.0,March,31.0,China,Yes,Unknown,1056.7,Website,1,0
96790,0,Orchard,April,August,11.0,August,25.0,China,Yes,President Suite,1327.21,Website,2,1
24770,0,Changi,May,July,13.0,July,17.0,India,Yes,King,826.52,Website,1,2
