booking_id,no_show,branch,booking_month,arrival_month,arrival_day,checkout_month,checkout_day,country,first_time,room,price,platform,num_adults,num_children
94113,0.0,Changi,November,June,25.0,June,27.0,Singapore,Yes,Single,SGD$ 492.98,Website,1,0.0
86543,0.0,Orchard,August,November,28.0,November,29.0,Indonesia,Yes,King,SGD$ 1351.22,Website,2,0.0
75928,0.0,Changi,March,February,7.0,February,11.0,India,Yes,Single,,Agent,1,0.0
66947,1.0,Orchard,September,October,1.0,October,3.0,China,Yes,Single,SGD$ 666.04,Website,1,0.0
106390,0.0,Orchard,March,June,20.0,June,24.0,Australia,Yes,Queen,USD$ 665.37,Website,1,0.0
55212,0.0,Orchard,November,September,12.0,September,13.0,Indonesia,Yes,,SGD$ 1499.61,Website,2,2.0
42322,0.0,Orchard,November,October,15.0,October,16.0,Australia,Yes,King,SGD$ 1375.44,Website,1,1.0
23137,0.0,Changi,July,November,18.0,November,19.0,India,Yes,King,,Email,2,1.0
109456,1.0,Changi,January,June,27.0,June,28.0,China,Yes,,USD$ 658.75,Email,2,1.0
31117,0.0,Orchard,October,March,22.0,March,24.0,China,Yes,,USD$ 962.75,Website,1,1.0
65862,0.0,Orchard,October,March,28.0,March,29.0,Indonesia,Yes,King,SGD$ 1478.01,Website,2,2.0
108345,1.0,Changi,March,June,9.0,June,10.0,China,Yes,King,SGD$ 867.99,Website,one,2.0
81453,0.0,Changi,March,November,11.0,November,12.0,Indonesia,Yes,King,SGD$ 869.72,Website,2,0.0
88243,1.0,Orchard,June,March,11.0,March,13.0,China,Yes,Single,USD$ 587.03,Email,1,0.0
115125,0.0,Orchard,July,May,10.0,May,11.0,Japan,Yes,King,SGD$ 1342.52,Website,2,2.0
99392,0.0,Orchard,December,August,13.0,August,15.0,India,Yes,Queen,,Phone,1,1.0
28623,0.0,Changi,December,February,22.0,February,23.0,Indonesia,Yes,King,,Website,2,2.0
85014,0.0,Orchard,March,May,10.0,May,12.0,Indonesia,Yes,,SGD$ 1309.13,Website,one,0.0
28009,0.0,Changi,June,July,30.0,July,31.0,Japan,Yes,King,,Agent,two,2.0
3158,0.0,Orchard,March,March,30.0,March,31.0,China,Yes,,USD$ 1056.7,Website,1,0.0
96790,0.0,Orchard,April,August,11.0,August,25.0,China,Yes,President Suite,USD$ 1327.21,Website,2,1.0
24770,0.0,Changi,May,July,13.0,July,17.0,India,Yes,King,SGD$ 826.52,Website,1,2.0
71495,0.0,Changi,February,January,15.0,January,17.0,Indonesia,Yes,King,USD$ 705.65,Website,2,2.0
93517,1.0,Changi,February,August,27.0,August,28.0,China,Yes,,SGD$ 858.28,Website,2,1.0
60146,0.0,Changi,October,October,9.0,October,10.0,Indonesia,Yes,Single,SGD$ 515.01,Website,1,0.0
17827,0.0,Changi,January,October,21.0,October,23.0,China,Yes,King,USD$ 633.25,Agent,one,2.0
114619,1.0,Changi,January,July,5.0,July,8.0,Indonesia,Yes,Single,SGD$ 408.29,Phone,1,1.0
30985,1.0,Changi,April,May,1.0,May,2.0,India,Yes,Single,SGD$ 596.27,Website,1,0.0
67380,0.0,Changi,May,June,7.0,June,10.0,Indonesia,Yes,King,,Website,1,1.0
16987,1.0,Changi,February,April,6.0,April,9.0,China,Yes,King,SGD$ 805.84,Agent,2,1.0
11846,0.0,Changi,May,August,2.0,August,3.0,China,Yes,King,,Phone,2,0.0
7988,0.0,Orchard,April,July,6.0,July,7.0,Singapore,Yes,Queen,,Website,2,1.0
59855,1.0,Changi,September,July,27.0,July,29.0,China,Yes,King,SGD$ 914.39,Agent,1,0.0
69075,1.0,Changi,August,December,31.0,January,1.0,China,Yes,King,,Website,2,0.0
7104,1.0,Changi,September,July,31.0,August,1.0,Indonesia,Yes,Single,USD$ 364.66,Website,1,0.0
33099,1.0,Changi,June,December,31.0,January,2.0,India,Yes,King,,Website,1,2.0
27593,0.0,Orchard,June,November,6.0,November,8.0,China,Yes,Single,,Website,1,1.0
14488,0.0,Changi,September,October,19.0,October,20.0,Singapore,Yes,King,,Website,2,1.0
39866,0.0,Orchard,July,February,12.0,February,14.0,Indonesia,Yes,King,,Email,2,0.0
51887,0.0,Changi,August,February,15.0,February,19.0,Indonesia,Yes,,USD$ 708.28,Website,2,2.0
109700,1.0,Changi,April,September,9.0,September,10.0,China,Yes,King,USD$ 598.52,Email,two,2.0
48346,0.0,Orchard,October,November,9.0,November,11.0,Indonesia,Yes,King,USD$ 878.37,Website,2,0.0
99641,0.0,Changi,February,July,4.0,July,7.0,China,No,,USD$ 658.23,Website,2,1.0
76711,1.0,Orchard,July,October,3.0,October,-4.0,China,Yes,King,SGD$ 1417.02,Email,two,1.0
71255,0.0,Orchard,February,June,11.0,June,13.0,India,Yes,King,SGD$ 1486.43,Email,1,1.0
28770,1.0,Changi,December,June,2.0,June,4.0,China,Yes,King,,Agent,1,1.0
80758,0.0,Orchard,October,February,27.0,February,28.0,Indonesia,Yes,Single,USD$ 596.66,Website,1,0.0
82497,1.0,Orchard,September,July,4.0,July,6.0,China,Yes,King,SGD$ 1281.91,Website,2,1.0
94561,1.0,Changi,April,May,1.0,May,2.0,China,Yes,,SGD$ 855.4,Website,2,0.0
56279,0.0,Changi,August,August,20.0,August,21.0,India,Yes,King,SGD$ 892.73,Website,two,0.0
4930,0.0,Changi,March,February,6.0,February,8.0,Indonesia,Yes,,USD$ 600.44,Email,1,1.0
25759,0.0,Orchard,September,March,2.0,March,5.0,Australia,Yes,King,USD$ 945.69,Website,1,0.0
77075,1.0,Orchard,July,January,13.0,January,15.0,Indonesia,Yes,,USD$ 855.69,Email,2,0.0
56284,1.0,Changi,November,July,7.0,July,10.0,Indonesia,Yes,Single,SGD$ 590.52,Email,1,1.0
68060,0.0,Orchard,October,June,12.0,June,13.0,Indonesia,Yes,,USD$ 915.96,Website,2,1.0
82887,0.0,Changi,November,September,11.0,September,13.0,China,Yes,,SGD$ 896.22,Website,1,0.0
82286,1.0,Orchard,June,August,28.0,August,29.0,Indonesia,Yes,King,SGD$ 1239.43,Email,2,2.0
17540,1.0,Orchard,February,July,27.0,July,29.0,China,Yes,King,USD$ 1093.12,Email,1,0.0
41320,1.0,Changi,October,August,2.0,August,5.0,Singapore,Yes,Single,,Agent,1,1.0
99490,0.0,Changi,September,September,27.0,September,28.0,Japan,Yes,King,,Phone,2,2.0
11147,0.0,Orchard,November,April,9.0,April,10.0,India,Yes,,SGD$ 1482.9,Email,1,1.0
14197,0.0,Changi,February,July,1.0,July,3.0,China,Yes,King,,Email,1,2.0
24631,1.0,Changi,January,June,23.0,June,24.0,China,Yes,,USD$ 665.3,Email,2,0.0
26321,0.0,Changi,July,August,17.0,August,18.0,India,Yes,King,,Phone,2,1.0
93575,0.0,Changi,November,February,11.0,February,12.0,China,No,King,USD$ 666.14,Agent,2,2.0
67136,0.0,Changi,November,July,15.0,July,16.0,Indonesia,Yes,Queen,USD$ 469.62,Website,2,0.0
103826,0.0,Orchard,November,December,22.0,December,24.0,India,Yes,King,USD$ 943.12,Website,one,0.0
46485,0.0,Orchard,October,October,8.0,October,22.0,Australia,Yes,,USD$ 817.51,Website,2,0.0
45720,0.0,Orchard,March,September,17.0,September,19.0,India,Yes,King,,Email,1,2.0
59927,1.0,Orchard,August,September,7.0,September,-10.0,India,Yes,King,USD$ 965.17,Phone,one,2.0
20507,1.0,Orchard,February,February,6.0,February,20.0,China,Yes,Queen,,Agent,two,0.0
19021,0.0,Changi,April,May,23.0,May,25.0,Indonesia,Yes,Single,USD$ 435.55,Website,1,1.0
